method,target_prune_rate,base_accuracy,pruned_accuracy,parameter_reduction_pct,mac_reduction_pct,params_before,params_after,macs_before,macs_after,pruning_time_sec,layer_names,layer_sensitivities,layer_pruning_rates,retained_channels,status,seed,dataset,architecture,baseline_training_accuracy,final_accuracy,accuracy_change,recovery_efficiency_eta,baseline_latency_ms,pruned_latency_ms,speedup,error
Uniform-Magnitude,0.1,82.86,80.55,9.059212989129238,8.129137878583547,272474,247790,40813184,37495424,2.5756070613861084,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""block1.conv1"": 0.1, ""block2.conv1"": 0.1, ""block3.conv1"": 0.1, ""block4.conv1"": 0.1, ""block5.conv1"": 0.1, ""block6.conv1"": 0.1, ""block7.conv1"": 0.1, ""block8.conv1"": 0.1, ""block9.conv1"": 0.1}","[15, 15, 15, 29, 29, 29, 58, 58, 58]",ok,42,CIFAR10,ResNet20,82.86,86.76,3.9000000000000057,68.54900097228983,3.1341024998710054,2.6680920000217156,1.1746605813613238,
Uniform-Magnitude,0.2,82.86,63.91,18.437722498293414,18.42604585812271,272474,222236,40813184,33292928,2.3106446266174316,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""block1.conv1"": 0.2, ""block2.conv1"": 0.2, ""block3.conv1"": 0.2, ""block4.conv1"": 0.2, ""block5.conv1"": 0.2, ""block6.conv1"": 0.2, ""block7.conv1"": 0.2, ""block8.conv1"": 0.2, ""block9.conv1"": 0.2}","[13, 13, 13, 26, 26, 26, 52, 52, 52]",ok,42,CIFAR10,ResNet20,82.86,86.06,3.200000000000003,120.13414347704926,3.1341024998710054,3.250109499958853,0.9643067410223205,
Uniform-Magnitude,0.3,82.86,33.37,28.661817274308742,27.051964384841916,272474,194378,40813184,29772416,2.462636947631836,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""block1.conv1"": 0.3, ""block2.conv1"": 0.3, ""block3.conv1"": 0.3, ""block4.conv1"": 0.3, ""block5.conv1"": 0.3, ""block6.conv1"": 0.3, ""block7.conv1"": 0.3, ""block8.conv1"": 0.3, ""block9.conv1"": 0.3}","[12, 12, 12, 23, 23, 23, 45, 45, 45]",ok,42,CIFAR10,ResNet20,82.86,85.82,2.9599999999999937,182.99607278221674,3.1341024998710054,2.688699000145789,1.1656576283552251,
Uniform-Magnitude,0.4,82.86,21.99,38.04032678347292,37.34887236438108,272474,168824,40813184,25569920,2.2401630878448486,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""block1.conv1"": 0.4, ""block2.conv1"": 0.4, ""block3.conv1"": 0.4, ""block4.conv1"": 0.4, ""block5.conv1"": 0.4, ""block6.conv1"": 0.4, ""block7.conv1"": 0.4, ""block8.conv1"": 0.4, ""block9.conv1"": 0.4}","[10, 10, 10, 20, 20, 20, 39, 39, 39]",ok,42,CIFAR10,ResNet20,82.86,85.32,2.4599999999999937,166.48121968162081,3.1341024998710054,2.568189499925211,1.2203548452955963,
Uniform-Magnitude,0.5,82.86,22.07,49.16725999544911,49.13612228832722,272474,138506,40813184,20759168,2.3496978282928467,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""block1.conv1"": 0.5, ""block2.conv1"": 0.5, ""block3.conv1"": 0.5, ""block4.conv1"": 0.5, ""block5.conv1"": 0.5, ""block6.conv1"": 0.5, ""block7.conv1"": 0.5, ""block8.conv1"": 0.5, ""block9.conv1"": 0.5}","[8, 8, 8, 16, 16, 16, 32, 32, 32]",ok,42,CIFAR10,ResNet20,82.86,85.13,2.269999999999996,128.25607936223577,3.1341024998710054,2.486889000010706,1.2602502563876046,
Adaptive-Magnitude,0.1,82.86,80.62,8.899931736606062,7.858166615964096,272474,248224,40813184,37606016,4.602118253707886,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.07475723698735237, 0.029921071603894234, 0.02235429361462593, 0.02128666949768861, 0.018613121161858242, 0.012598442534605661, 0.014132251342137655, 0.01571720962723096, 0.0028299609354386726]","{""block1.conv1"": 0.07534046348382849, ""block2.conv1"": 0.09013018956353294, ""block3.conv1"": 0.09262617852267134, ""block4.conv1"": 0.09297834664656301, ""block5.conv1"": 0.09386024738918025, ""block6.conv1"": 0.09584425847919505, ""block7.conv1"": 0.09533831396034452, ""block8.conv1"": 0.09481549719660459, ""block9.conv1"": 0.09906650475807988}","[15, 15, 15, 30, 29, 29, 58, 58, 58]",ok,42,CIFAR10,ResNet20,82.86,86.33,3.469999999999999,64.15779546391745,3.1341024998710054,2.7865195002050314,1.1247373290014295,
Adaptive-Magnitude,0.2,82.86,67.17,17.9591447257353,15.987304494547644,272474,223540,40813184,34288256,3.9351892471313477,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.0801216425995032, 0.02706826974948247, 0.02059295028448105, 0.022792239983876545, 0.014207714858154455, 0.011320641885201136, 0.015769598074257374, 0.01649453118443489, 0.002445952811588844]","{""block1.conv1"": 0.14679170091356353, ""block2.conv1"": 0.1820241254940056, ""block3.conv1"": 0.18632434605358955, ""block4.conv1"": 0.18486381104324168, ""block5.conv1"": 0.19056474234700504, ""block6.conv1"": 0.19248203007657813, ""block7.conv1"": 0.18952750513363562, ""block8.conv1"": 0.1890460814322171, ""block9.conv1"": 0.19837565750616382}","[14, 14, 14, 27, 26, 26, 52, 52, 52]",ok,42,CIFAR10,ResNet20,82.86,86.31,3.450000000000003,106.57523112764132,3.1341024998710054,2.6909244998023496,1.1646935839713108,
Adaptive-Magnitude,0.3,82.86,36.15,27.654748709968658,25.742269948847902,272474,197122,40813184,30306944,4.263123273849487,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.08111302306254704, 0.036947945753733315, 0.024921778589487076, 0.02290508182098468, 0.013859470064441362, 0.01195218941817681, 0.016072817767659824, 0.013822066287199656, 0.0024040406569838524]","{""block1.conv1"": 0.22395600226371196, ""block2.conv1"": 0.2653610555102745, ""block3.conv1"": 0.2766356670841641, ""block4.conv1"": 0.2785263336961151, ""block5.conv1"": 0.2870066547834885, ""block6.conv1"": 0.28879474305428526, ""block7.conv1"": 0.28493162661441906, ""block8.conv1"": 0.28704172107302506, ""block9.conv1"": 0.29774619592051627}","[13, 12, 12, 24, 23, 23, 46, 46, 45]",ok,42,CIFAR10,ResNet20,82.86,86.08,3.219999999999999,180.54765394415543,3.1341024998710054,3.3920739999757643,0.9239487404736447,
Adaptive-Magnitude,0.4,82.86,24.53,36.82039387244288,34.593997861083324,272474,172148,40813184,26694272,4.166548490524292,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.08541205028692882, 0.03418634148935477, 0.018997404724359512, 0.023175735647479694, 0.018131356065471966, 0.011860370635986328, 0.013365809805691242, 0.016340874135494232, 0.0028441008956482015]","{""block1.conv1"": 0.29338441014521077, ""block2.conv1"": 0.35732690000274353, ""block3.conv1"": 0.37628648997894726, ""block4.conv1"": 0.3710708884978862, ""block5.conv1"": 0.3773675351979774, ""block6.conv1"": 0.38519529261966895, ""block7.conv1"": 0.38331612820985317, ""block8.conv1"": 0.37960250422691, ""block9.conv1"": 0.39644985112080294}","[12, 11, 10, 21, 20, 20, 40, 40, 39]",ok,42,CIFAR10,ResNet20,82.86,85.22,2.3599999999999994,164.82713414269477,3.1341024998710054,2.4706889998924453,1.2685135603904174,
Adaptive-Magnitude,0.5,82.86,25.93,46.092471208262076,44.16831580697061,272474,146884,40813184,22786688,3.983438491821289,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.07810576135913531, 0.03162121772766113, 0.02262705999116103, 0.022169098258018494, 0.017682166149218876, 0.011331072077155113, 0.016787794108192127, 0.017105482518672943, 0.00230346053528289]","{""block1.conv1"": 0.3755899093370939, ""block2.conv1"": 0.4496324151264458, ""block3.conv1"": 0.46395868197236245, ""block4.conv1"": 0.46468814238282347, ""block5.conv1"": 0.47183511362720243, ""block6.conv1"": 0.4819513992323191, ""block7.conv1"": 0.4732597064456359, ""block8.conv1"": 0.4727536791915293, ""block9.conv1"": 0.49633095268458766}","[10, 9, 9, 18, 17, 17, 34, 34, 33]",ok,42,CIFAR10,ResNet20,82.86,85.56,2.700000000000003,129.3703688191735,3.1341024998710054,2.640391499880934,1.1869840135496326,
