,,,,final_accuracy,final_accuracy,accuracy_change,accuracy_change,parameter_reduction_pct,parameter_reduction_pct,mac_reduction_pct,mac_reduction_pct,speedup,speedup
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,architecture,method,target_prune_rate,,,,,,,,,,
CIFAR10,ResNet20,Adaptive-Correlation,0.1,86.5,,3.64,,8.9,,7.858,,1.359,
CIFAR10,ResNet20,Adaptive-Correlation,0.2,86.33,,3.47,,17.959,,15.987,,1.144,
CIFAR10,ResNet20,Adaptive-Correlation,0.3,85.95,,3.09,,27.655,,25.742,,1.137,
CIFAR10,ResNet20,Adaptive-Correlation,0.4,85.21,,2.35,,36.714,,33.871,,1.251,
CIFAR10,ResNet20,Adaptive-Correlation,0.5,84.57,,1.71,,46.092,,44.168,,1.181,
CIFAR10,ResNet20,Adaptive-Magnitude,0.1,86.33,,3.47,,8.9,,7.858,,1.125,
CIFAR10,ResNet20,Adaptive-Magnitude,0.2,86.31,,3.45,,17.959,,15.987,,1.165,
CIFAR10,ResNet20,Adaptive-Magnitude,0.3,86.08,,3.22,,27.655,,25.742,,0.924,
CIFAR10,ResNet20,Adaptive-Magnitude,0.4,85.22,,2.36,,36.82,,34.594,,1.269,
CIFAR10,ResNet20,Adaptive-Magnitude,0.5,85.56,,2.7,,46.092,,44.168,,1.187,
CIFAR10,ResNet20,E-HRAP,0.1,86.03,,3.17,,9.059,,8.129,,1.154,
CIFAR10,ResNet20,E-HRAP,0.2,86.34,,3.48,,17.959,,15.987,,1.202,
CIFAR10,ResNet20,E-HRAP,0.3,86.45,,3.59,,27.655,,25.742,,1.158,
CIFAR10,ResNet20,E-HRAP,0.4,85.77,,2.91,,36.82,,34.594,,1.219,
CIFAR10,ResNet20,E-HRAP,0.5,84.87,,2.01,,45.986,,43.446,,1.177,
CIFAR10,ResNet20,Uniform-Magnitude,0.1,86.76,,3.9,,9.059,,8.129,,1.175,
CIFAR10,ResNet20,Uniform-Magnitude,0.2,86.06,,3.2,,18.438,,18.426,,0.964,
CIFAR10,ResNet20,Uniform-Magnitude,0.3,85.82,,2.96,,28.662,,27.052,,1.166,
CIFAR10,ResNet20,Uniform-Magnitude,0.4,85.32,,2.46,,38.04,,37.349,,1.22,
CIFAR10,ResNet20,Uniform-Magnitude,0.5,85.13,,2.27,,49.167,,49.136,,1.26,
CIFAR10,SimpleCNN,Adaptive-Correlation,0.1,85.96,,3.78,,9.635,,13.932,,0.949,
CIFAR10,SimpleCNN,Adaptive-Correlation,0.2,85.71,,3.53,,19.44,,26.995,,0.967,
CIFAR10,SimpleCNN,Adaptive-Correlation,0.3,85.15,,2.97,,29.126,,39.557,,0.985,
CIFAR10,SimpleCNN,Adaptive-Correlation,0.4,85.08,,2.9,,38.175,,50.832,,1.064,
CIFAR10,SimpleCNN,Adaptive-Correlation,0.5,84.53,,2.35,,48.103,,60.844,,1.258,
CIFAR10,SimpleCNN,Adaptive-Magnitude,0.1,85.14,,2.96,,9.262,,13.75,,0.978,
CIFAR10,SimpleCNN,Adaptive-Magnitude,0.2,85.24,,3.06,,19.538,,27.608,,0.97,
CIFAR10,SimpleCNN,Adaptive-Magnitude,0.3,85.66,,3.48,,28.484,,39.825,,0.971,
CIFAR10,SimpleCNN,Adaptive-Magnitude,0.4,85.02,,2.84,,38.175,,50.832,,1.067,
CIFAR10,SimpleCNN,Adaptive-Magnitude,0.5,84.9,,2.72,,47.172,,61.431,,0.971,
CIFAR10,SimpleCNN,E-HRAP,0.1,85.81,,3.63,,9.635,,13.932,,0.974,
CIFAR10,SimpleCNN,E-HRAP,0.2,85.73,,3.55,,19.538,,27.608,,0.934,
CIFAR10,SimpleCNN,E-HRAP,0.3,85.49,,3.31,,29.491,,39.707,,0.968,
CIFAR10,SimpleCNN,E-HRAP,0.4,85.32,,3.14,,38.254,,51.344,,1.019,
CIFAR10,SimpleCNN,E-HRAP,0.5,84.15,,1.97,,47.703,,60.723,,0.987,
